monotonic_ns,controller_ts,q0,q1,q2,q3,q4,q5,qd0,qd1,qd2,qd3,qd4,qd5
24266578495147,177009.902000,1.644340,-3.540264,0.330399,-3.639548,-1.593627,3.765120,0.000000,0.000000,-0.000000,0.000000,0.000170,1.022356
24266580541541,177009.904000,1.644304,-3.540288,0.330435,-3.639548,-1.593651,3.767217,0.000000,0.000000,-0.000000,0.000000,0.000194,1.019647
24266582465924,177009.906000,1.644328,-3.540264,0.330435,-3.639524,-1.593615,3.769276,0.000000,0.000000,-0.000000,0.000000,0.000189,1.019406
24266584463348,177009.908000,1.644340,-3.540288,0.330423,-3.639560,-1.593663,3.771348,0.000000,0.000000,-0.000000,0.000000,0.000183,1.016079
24266586470706,177009.910000,1.644352,-3.540300,0.330411,-3.639524,-1.593663,3.773334,0.000000,0.000000,-0.000000,0.000001,0.000177,1.010490
24266588455299,177009.912000,1.644304,-3.540288,0.330435,-3.639572,-1.593675,3.775335,0.000000,0.000000,-0.000000,0.000000,0.000171,1.009244
24266590442305,177009.914000,1.644316,-3.540300,0.330386,-3.639560,-1.593663,3.777334,0.000000,0.000000,-0.000000,0.000000,0.000166,1.005663
24266592456611,177009.916000,1.644340,-3.540300,0.330447,-3.639572,-1.593651,3.779311,0.000000,0.000000,-0.000000,0.000000,0.000161,1.005327
24266594445117,177009.918000,1.644340,-3.540264,0.330399,-3.639536,-1.593663,3.781239,0.000000,0.000000,-0.000000,0.000000,0.000156,1.004918
24266596497013,177009.920000,1.644352,-3.540300,0.330435,-3.639560,-1.593663,3.783239,0.000000,0.000000,-0.000000,0.000000,0.000152,1.004086
24266598497981,177009.922000,1.644340,-3.540276,0.330423,-3.639548,-1.593651,3.785225,0.000000,0.000000,-0.000000,0.000000,0.000148,1.004111
24266600447391,177009.924000,1.644364,-3.540264,0.330435,-3.639548,-1.593627,3.787238,0.000000,0.000000,-0.000000,0.000000,0.000144,1.004190
24266602426796,177009.926000,1.644340,-3.540288,0.330423,-3.639536,-1.593639,3.789215,0.000000,0.000000,-0.000000,0.000000,0.000152,1.001569
24266604560250,177009.928000,1.644352,-3.540300,0.330386,-3.639560,-1.593675,3.791178,0.000000,0.000000,-0.000000,0.000000,0.000159,1.000075
24266606456865,177009.930000,1.644328,-3.540300,0.330423,-3.639524,-1.593627,3.793237,0.000000,0.000000,-0.000000,0.000000,0.000155,0.999286
24266608478207,177009.932000,1.644328,-3.540288,0.330411,-3.639584,-1.593651,3.795262,0.000000,0.000000,-0.000000,0.000000,0.000152,0.998159
24266610427960,177009.934000,1.644340,-3.540228,0.330375,-3.639560,-1.593687,3.797356,0.000000,0.000000,-0.000000,0.000000,0.000148,0.995685
24266612473156,177009.936000,1.644340,-3.540276,0.330399,-3.639548,-1.593687,3.799381,0.000000,0.000000,-0.000000,0.000000,0.000145,0.995846
24266614470307,177009.938000,1.644328,-3.540264,0.330399,-3.639548,-1.593627,3.801394,0.000000,0.000000,-0.000000,0.000000,0.000141,0.994590
24266616463825,177009.940000,1.644316,-3.540288,0.330435,-3.639560,-1.593687,3.803404,0.000000,0.000000,-0.000000,0.000000,0.000138,0.988940
24266618429847,177009.942000,1.644328,-3.540288,0.330386,-3.639596,-1.593675,3.805331,0.000000,0.000000,-0.000000,0.000000,0.000135,0.984687
24266620452606,177009.944000,1.644352,-3.540252,0.330435,-3.639548,-1.593651,3.807259,0.000000,0.000000,-0.000000,0.000000,0.000133,0.982166
24266622454973,177009.946000,1.644352,-3.540276,0.330411,-3.639560,-1.593651,3.809212,0.000000,0.000000,-0.000000,0.000000,0.000130,0.981959
24266624459214,177009.948000,1.644328,-3.540276,0.330435,-3.639536,-1.593663,3.811113,0.000000,0.000000,-0.000000,0.000000,0.000144,0.981605
24266626424280,177009.950000,1.644352,-3.540264,0.330399,-3.639548,-1.593651,3.813028,0.000000,0.000000,-0.000000,0.000000,0.000142,0.979979
24266628459955,177009.952000,1.644352,-3.540276,0.330399,-3.639596,-1.593663,3.815001,0.000000,0.000000,-0.000000,0.000000,0.000140,0.979999
24266630449867,177009.954000,1.644316,-3.540240,0.330423,-3.639560,-1.593651,3.816929,0.000000,0.000000,-0.000000,0.000000,0.000137,0.981109
24266632444761,177009.956000,1.644340,-3.540276,0.330411,-3.639560,-1.593663,3.818922,0.000000,0.000000,-0.000000,0.000000,0.000135,0.975998
24266634448301,177009.958000,1.644364,-3.540264,0.330423,-3.639572,-1.593651,3.820848,0.000000,0.000000,-0.000000,0.000000,0.000132,0.974814
24266636500205,177009.960000,1.644340,-3.540276,0.330363,-3.639548,-1.593663,3.822842,0.000000,0.000000,-0.000000,0.000000,0.000130,0.973345
