monotonic_ns,frame_time_ns,vector_x,vector_y
790542975233314,790542977185884,-0.17406904,0.98473345
790543008430920,790543010544220,-0.19002191,0.98177985
790543042707177,790543043902812,-0.22092236,0.97529140
790543075377064,790543077261404,-0.24130115,0.97045028
790543109481003,790543110619996,-0.27106596,0.96256077
790543142371133,790543143978332,-0.29261677,0.95622980
790543175257847,790543177336668,-0.32579381,0.94544085
790543209197736,790543210695516,-0.35856478,0.93350485
790543242129053,790543244053852,-0.38963999,0.92096725
790543276069513,790543277412188,-0.42315798,0.90605592
790543308654244,790543310770780,-0.43955286,0.89821672
790543342694217,790543344129116,-0.47165225,0.88178464
790543375800134,790543377487964,-0.50037126,0.86581095
790543409736279,790543410846300,-0.52999894,0.84799830
790543442609599,790543444204636,-0.55914167,0.82907213
790543475498289,790543477563228,-0.59917323,0.80061941
790543509427994,790543510921820,-0.61543449,0.78818804
790543542748719,790543544280412,-0.64155520,0.76707687
790543576016948,790543577638748,-0.67168889,0.74083334
790543609074907,790543610997084,-0.69228754,0.72162176
790543643017382,790543644355676,-0.71806768,0.69597329
790543675487505,790543677714268,-0.73142092,0.68192627
790543709498610,790543711072860,-0.75568908,0.65493054
790543742419410,790543744431196,-0.76664797,0.64206767
790543776369025,790543777789788,-0.78794526,0.61574530
790543809253585,790543811148380,-0.79809324,0.60253397
790543843196175,790543844506716,-0.81819170,0.57494552
790543876140831,790543877865308,-0.82807274,0.56062067
790543909013715,790543911223644,-0.84080405,0.54133959
790543942969584,790543944582236,-0.85606445,0.51686910
790543975973563,790543977940572,-0.86555049,0.50082167
790544009024293,790544011298908,-0.86591684,0.50018799
790544042383580,790544044657244,-0.86591684,0.50018799
790544075912154,790544078015836,-0.86790703,0.49672667
790544109915189,790544111374428,-0.86591684,0.50018799
790544142966368,790544144732764,-0.86759129,0.49727794
790544175897413,790544178091100,-0.86397108,0.50354143
790544209831452,790544211449436,-0.85800751,0.51363715
790544243045588,790544244808284,-0.85934805,0.51139117
790544276201521,790544278166620,-0.84830172,0.52951317
790544310191099,790544311525212,-0.84858634,0.52905692
790544343078503,790544344883548,-0.84057104,0.54170133
790544375999895,790544378242140,-0.83915299,0.54389545
790544410012586,790544411600732,-0.82807274,0.56062067
790544442903246,790544444959068,-0.82890762,0.55938551
790544476835928,790544478317660,-0.81851475,0.57448551
790544509729540,790544511676252,-0.80830434,0.58876489
790544543735097,790544545034844,-0.79878502,0.60161657
790544576593161,790544578393436,-0.79868518,0.60174911
790544609485926,790544611751772,-0.78818804,0.61543449
790544643431943,790544645110364,-0.77627334,0.63039647
790544676309735,790544678468956,-0.76619154,0.64261226
790544710249610,790544711827804,-0.75602382,0.65454411
790544743134877,790544745186396,-0.74125916,0.67121893
790544777070411,790544778544732,-0.72023844,0.69372660
790544810018851,790544811903324,-0.70710678,0.70710678
790544844070229,790544845262172,-0.69534369,0.71867737
790544876949139,790544878620764,-0.66822603,0.74395831
790544909877856,790544911979356,-0.65493054,0.75568908
790544943858968,790544945338460,-0.64146246,0.76715443
790544976744115,790544978697564,-0.61513953,0.78841827
790545010663057,790545012056668,-0.60277174,0.79791367
790545043791964,790545045415772,-0.57170365,0.82046020
790545076712809,790545078774876,-0.55969638,0.82869775
790545109852975,790545112134236,-0.53118223,0.84725760
790545143907798,790545145493340,-0.49998007,0.86603691
790545176799412,790545178852444,-0.46893329,0.88323358
790545210722441,790545212211548,-0.45604696,0.88995571
790545243665241,790545245570652,-0.42215552,0.90652342
790545276545401,790545278929756,-0.38905638,0.92121395
790545310489118,790545312288860,-0.35806773,0.93369561
790545343404267,790545345647964,-0.32432432,0.94594595
790545377444768,790545379007068,-0.29313500,0.95607106
790545410608386,790545412366428,-0.25626326,0.96660703
790545444551723,790545445725788,-0.22651349,0.97400803
790545477432587,790545479084892,-0.19086966,0.98161539
790545510301241,790545512444252,-0.15549286,0.98783702
790545544259121,790545545803356,-0.12236124,0.99248563
790545577191830,790545579162460,-0.08762462,0.99615357
790545611139750,790545612521820,-0.06419480,0.99793739
790545644010319,790545645880924,-0.03667256,0.99932734
790545677953255,790545679240284,-0.00000000,1.00000000
790545710773935,790545712599388,0.01481319,0.99989028
790545743733075,790545745958748,0.05062624,0.99871767
790545777710165,790545779318108,0.08540114,0.99634665
790545810919334,790545812677212,0.10321929,0.99465862
790545843901038,790545846036828,0.12464836,0.99220098
790545877128816,790545879396188,0.15908533,0.98726484
790545911209097,790545912755292,0.17643339,0.98431258
790545944262544,790545946110556,0.18987791,0.98180771
790545977179135,790545979465308,0.22043001,0.97540279
790546010557190,790546012820316,0.22661987,0.97398328
790546043887974,790546046175580,0.22347027,0.97471075
790546077637364,790546079530588,0.21055608,0.97758178
790546111034519,790546112885596,0.21159294,0.97735788
790546144549816,790546146240348,0.20507083,0.97874714
790546177494863,790546179595356,0.20722470,0.97829337
790546211481278,790546212950364,0.20695859,0.97834970
790546244432248,790546246305116,0.19101167,0.98158777
790546278366072,790546279660124,0.19345802,0.98110855
790546311315004,790546313014620,0.18633365,0.98248652
790546344246960,790546346369372,0.17806067,0.98401951
790546378190286,790546379724124,0.17134117,0.98521175
790546411131296,790546413078876,0.15858904,0.98734468
790546445076154,790546446433628,0.14284971,0.98974439
790546477981564,790546479788380,0.13917282,0.99026811
790546510930650,790546513142876,0.12470201,0.99219424
790546545331624,790546546497628,0.10494492,0.99447804
790546578387589,790546579852124,0.09104882,0.99584643
790546611312686,790546613206620,0.08350619,0.99650726
790546645256514,790546646561116,0.07024856,0.99752952
790546678134609,790546679915612,0.05056813,0.99872061
790546711012467,790546713270108,0.03245043,0.99947335
790546744974941,790546746624604,0.01438700,0.99989650
790546777839501,790546779979100,-0.00000000,1.00000000
790546811788253,790546813333340,-0.04652032,0.99891734
790546844674221,790546846687836,-0.04668060,0.99890987
790546878677274,790546880042076,-0.06733152,0.99773066
790546911555529,790546913396572,-0.08577542,0.99631450
790546945510808,790546946754652,-0.10497238,0.99447514
790546978615885,790546980113244,-0.13628264,0.99067000
790547011602635,790547013471580,-0.15496777,0.98791953
790547044546392,790547046829660,-0.17412786,0.98472305
790547078617402,790547080187996,-0.20507083,0.97874714
790547111567115,790547113546588,-0.23990919,0.97079533
790547145483778,790547146904668,-0.25900579,0.96587577
790547178843945,790547180263004,-0.29014867,0.95698158
790547212121245,790547213621340,-0.30934513,0.95094984
790547245260833,790547246979676,-0.34022499,0.94034406
790547278318715,790547280338012,-0.37139068,0.92847669
790547311916852,790547313696348,-0.40710677,0.91338058
790547345242447,790547347054428,-0.43613805,0.89987977
790547378407271,790547380413020,-0.46574643,0.88491822
790547411800486,790547413771356,-0.49972245,0.86618559
790547445033001,790547447129692,-0.51531924,0.85699830
790547478288556,790547480487772,-0.55922008,0.82901924
790547512629118,790547513846364,-0.58568147,0.81054131
790547545934420,790547547204700,-0.61394061,0.78935222
790547578492935,790547580562780,-0.64110452,0.76745358
790547611696541,790547613921116,-0.66896473,0.74329415
790547646077078,790547647279708,-0.69288353,0.72104952
790547679078828,790547680638044,-0.70710678,0.70710678
790547711959858,790547713996124,-0.73142092,0.68192627
790547745910859,790547747354460,-0.75602382,0.65454411
790547778791550,790547780713052,-0.76822128,0.64018440
790547812721903,790547814071132,-0.78699216,0.61696299
790547845604883,790547847429468,-0.80921517,0.58751239
790547879546795,790547880787804,-0.81851475,0.57448551
790547912434654,790547914146396,-0.83844362,0.54498835
790547945678107,790547947503196,-0.84858634,0.52905692
790547978727563,790547980860508,-0.86542629,0.50103627
790548012733450,790548014217564,-0.87363514,0.48658159
790548045613631,790548047574876,-0.86749552,0.49744499
790548079093926,790548080931676,-0.86756222,0.49732866
790548112308151,790548114288988,-0.87271407,0.48823165
790548145666651,790548147646044,-0.86725310,0.49786752
790548179022799,790548181003100,-0.86555049,0.50082167
790548212290725,790548214360156,-0.86627405,0.49956908
790548245577359,790548247717212,-0.85655264,0.51605966
790548279844897,790548281074268,-0.85795987,0.51371671
790548313032935,790548314431324,-0.85591554,0.51711564
790548346382872,790548347788380,-0.84858634,0.52905692
790548379376233,790548381145436,-0.84671019,0.53205437
790548412307892,790548414502236,-0.83761060,0.54626778
790548446245319,790548447859548,-0.82967898,0.55824080
790548479130591,790548481216348,-0.81950106,0.57307767
790548513084192,790548514573404,-0.81780642,0.57549341
790548545971944,790548547930204,-0.80895331,0.58787290
790548579969145,790548581287260,-0.79881501,0.60157674
790548612832346,790548614644060,-0.78880029,0.61464958
790548646786468,790548648001372,-0.77803202,0.62822462
790548679674245,790548681358172,-0.76551980,0.64341234
790548712542420,790548714715228,-0.75400769,0.65686559
790548746486137,790548748072028,-0.74306461,0.66921968
790548779370356,790548781429084,-0.73155155,0.68178614
790548813306257,790548814785884,-0.71923283,0.69476913
790548846250341,790548848142684,-0.70710678,0.70710678
790548880193107,790548881499484,-0.67993956,0.73326816
790548913071458,790548914856540,-0.66847542,0.74373424
790548947010436,790548948213084,-0.65789154,0.75311269
790548979902276,790548981569372,-0.62906896,0.77734950
790549013374619,790549014925660,-0.61572760,0.78795909
790549046494821,790549048281948,-0.58660883,0.80987041
790549080490235,790549081638492,-0.57258864,0.81984282
790549113419799,790549114994780,-0.54560189,0.83804450
790549146311150,790549148351068,-0.51383852,0.85788692
790549180277178,790549181707356,-0.48487324,0.87458444
790549213129954,790549215063900,-0.47173197,0.88174200
790549247080311,790549248419932,-0.43824741,0.89885439
790549280014128,790549281776476,-0.40572475,0.91399531
790549312903785,790549315132764,-0.37446305,0.92724184
790549346867007,790549348488796,-0.33839115,0.94100554
790549379800672,790549381845084,-0.30949173,0.95090213
790549413029084,790549415201628,-0.27894624,0.96030672
790549447209527,790549448557660,-0.24359690,0.96987656
790549480336572,790549481913948,-0.20829198,0.97806669
790549513455357,790549515270236,-0.17326509,0.98487523
790549546562516,790549548626268,-0.13571882,0.99074740
790549579564222,790549581982556,-0.10735715,0.99422052
790549613509210,790549615338588,-0.07047649,0.99751344
790549646497336,790549648694620,-0.04825291,0.99883515
