camera_id,filename,monotonic_ns,captured_time_ns,queue_size
0,cam0_24249217560577.jpg,24249217560577,24249352563601,0
4,cam4_24249218434903.jpg,24249218434903,24249353411287,0
2,cam2_24249233105294.jpg,24249233105294,24249367420733,0
0,cam0_24249234227243.jpg,24249234227243,24249368557898,0
4,cam4_24249235101569.jpg,24249235101569,24249369417154,0
2,cam2_24249249771960.jpg,24249249771960,24249388126154,0
0,cam0_24249250893909.jpg,24249250893909,24249389206566,0
4,cam4_24249251768235.jpg,24249251768235,24249390137546,0
2,cam2_24249266438626.jpg,24249266438626,24249403914823,0
0,cam0_24249267560575.jpg,24249267560575,24249405096797,0
4,cam4_24249268434901.jpg,24249268434901,24249405940529,0
2,cam2_24249283105292.jpg,24249283105292,24249419839802,0
0,cam0_24249284227241.jpg,24249284227241,24249420988733,0
4,cam4_24249285101567.jpg,24249285101567,24249421818757,0
2,cam2_24249299771958.jpg,24249299771958,24249435726033,0
0,cam0_24249300893907.jpg,24249300893907,24249436925321,0
4,cam4_24249301768233.jpg,24249301768233,24249437814207,0
2,cam2_24249316438624.jpg,24249316438624,24249451982587,0
0,cam0_24249317560573.jpg,24249317560573,24249453139688,0
4,cam4_24249318434899.jpg,24249318434899,24249453901596,0
2,cam2_24249333105290.jpg,24249333105290,24249467761713,0
0,cam0_24249334227239.jpg,24249334227239,24249469008870,0
4,cam4_24249335101565.jpg,24249335101565,24249469843139,0
2,cam2_24249349771956.jpg,24249349771956,24249487521816,0
0,cam0_24249350893905.jpg,24249350893905,24249488621257,0
4,cam4_24249351768231.jpg,24249351768231,24249489472432,0
2,cam2_24249366438622.jpg,24249366438622,24249503591439,0
0,cam0_24249367560571.jpg,24249367560571,24249504971079,0
4,cam4_24249368434897.jpg,24249368434897,24249505666149,0
2,cam2_24249383105288.jpg,24249383105288,24249519892298,0
0,cam0_24249384227237.jpg,24249384227237,24249521188165,0
4,cam4_24249385101563.jpg,24249385101563,24249522034782,0
2,cam2_24249399771954.jpg,24249399771954,24249535837097,0
0,cam0_24249400893903.jpg,24249400893903,24249537121556,0
4,cam4_24249401768229.jpg,24249401768229,24249537944369,0
2,cam2_24249416438620.jpg,24249416438620,24249551744379,0
0,cam0_24249417560569.jpg,24249417560569,24249552921419,0
4,cam4_24249418434895.jpg,24249418434895,24249553781752,0
2,cam2_24249433105286.jpg,24249433105286,24249567740719,0
0,cam0_24249434227235.jpg,24249434227235,24249568917127,0
4,cam4_24249435101561.jpg,24249435101561,24249569871092,0
2,cam2_24249449771952.jpg,24249449771952,24249587752312,0
0,cam0_24249450893901.jpg,24249450893901,24249588794306,0
4,cam4_24249451768227.jpg,24249451768227,24249589646350,0
2,cam2_24249466438618.jpg,24249466438618,24249603833585,0
0,cam0_24249467560567.jpg,24249467560567,24249605093733,0
4,cam4_24249468434893.jpg,24249468434893,24249605842498,0
2,cam2_24249483105284.jpg,24249483105284,24249619778938,0
0,cam0_24249484227233.jpg,24249484227233,24249620916663,0
4,cam4_24249485101559.jpg,24249485101559,24249621727178,0
2,cam2_24249499771950.jpg,24249499771950,24249635729140,0
0,cam0_24249500893899.jpg,24249500893899,24249636898055,0
4,cam4_24249501768225.jpg,24249501768225,24249637692227,0
2,cam2_24249516438616.jpg,24249516438616,24249651848751,0
0,cam0_24249517560565.jpg,24249517560565,24249653009408,0
4,cam4_24249518434891.jpg,24249518434891,24249653816746,0
2,cam2_24249533105282.jpg,24249533105282,24249667825953,0
0,cam0_24249534227231.jpg,24249534227231,24249669194298,0
4,cam4_24249535101557.jpg,24249535101557,24249669888657,0
2,cam2_24249549771948.jpg,24249549771948,24249687950434,0
0,cam0_24249550893897.jpg,24249550893897,24249689085276,0
4,cam4_24249551768223.jpg,24249551768223,24249689712193,0
2,cam2_24249566438614.jpg,24249566438614,24249703752326,0
0,cam0_24249567560563.jpg,24249567560563,24249704988074,0
4,cam4_24249568434889.jpg,24249568434889,24249705867635,0
2,cam2_24249583105280.jpg,24249583105280,24249719743767,0
0,cam0_24249584227229.jpg,24249584227229,24249720921391,0
4,cam4_24249585101555.jpg,24249585101555,24249721864985,0
2,cam2_24249599771946.jpg,24249599771946,24249735815070,0
0,cam0_24249600893895.jpg,24249600893895,24249736937819,0
4,cam4_24249601768221.jpg,24249601768221,24249737768622,0
2,cam2_24249616438612.jpg,24249616438612,24249751838013,0
0,cam0_24249617560561.jpg,24249617560561,24249752900622,0
4,cam4_24249618434887.jpg,24249618434887,24249753703227,0
2,cam2_24249633105278.jpg,24249633105278,24249767844710,0
0,cam0_24249634227227.jpg,24249634227227,24249768937767,0
4,cam4_24249635101553.jpg,24249635101553,24249769722009,0
2,cam2_24249649771944.jpg,24249649771944,24249787996874,0
0,cam0_24249650893893.jpg,24249650893893,24249788965482,0
4,cam4_24249651768219.jpg,24249651768219,24249789821057,0
2,cam2_24249666438610.jpg,24249666438610,24249803840468,0
0,cam0_24249667560559.jpg,24249667560559,24249804921756,0
4,cam4_24249668434885.jpg,24249668434885,24249805853187,0
2,cam2_24249683105276.jpg,24249683105276,24249819912253,0
0,cam0_24249684227225.jpg,24249684227225,24249821084151,0
4,cam4_24249685101551.jpg,24249685101551,24249821924096,0
2,cam2_24249699771942.jpg,24249699771942,24249835476712,0
0,cam0_24249700893891.jpg,24249700893891,24249836609414,0
4,cam4_24249701768217.jpg,24249701768217,24249837443926,0
2,cam2_24249716438608.jpg,24249716438608,24249851871938,0
0,cam0_24249717560557.jpg,24249717560557,24249852990824,0
4,cam4_24249718434883.jpg,24249718434883,24249853801757,0
2,cam2_24249733105274.jpg,24249733105274,24249867799253,0
0,cam0_24249734227223.jpg,24249734227223,24249868924466,0
4,cam4_24249735101549.jpg,24249735101549,24249869798134,0
2,cam2_24249749771940.jpg,24249749771940,24249887956144,0
