monotonic_ns,encoder_value
24249208975730,0.000000
24249220180592,0.000000
24249226345758,0.000000
24249232525065,0.000000
24249243794752,0.000000
24249249970276,0.000000
24249256119976,0.000000
24249267387797,0.000000
24249273543534,0.000000
24249284769890,0.000000
24249290922316,0.000000
24249302116470,0.000000
24249308288841,0.000000
24249314464093,0.000000
24249325681674,0.000000
24249331865547,0.000000
24249338018746,0.000000
24249349258180,0.000000
24249355414186,0.000000
24249366625469,0.000000
24249372785831,0.000000
24249378944901,0.000000
24249390288331,0.000000
24249396710384,0.000000
24249408232580,0.000000
24249414482756,0.000000
24249420770064,0.000000
24249432186422,0.000000
24249438406827,0.000000
24249444630774,0.000000
24249455981274,0.000000
24249462709920,0.000000
24249469091194,0.000000
24249480416149,0.000000
24249486580791,0.000000
24249497792598,0.000000
24249503984558,0.000000
24249510176349,0.000000
24249521562115,0.000000
24249527783523,0.000000
24249534000080,0.000000
24249545292005,0.000000
24249551491928,0.000000
24249562810721,0.000000
24249569096237,0.000000
24249580590910,0.000000
24249586906996,0.000000
24249593158825,0.000000
24249599383888,0.000000
24249610792918,0.000000
24249617124073,0.000000
24249623420112,0.000000
24249634871391,0.000000
24249641207615,0.000000
24249652593246,0.000000
24249658800353,0.000000
24249665018156,0.000000
24249676351904,0.000000
24249682585733,0.000000
24249693964117,0.000000
24249700265006,0.000000
24249706537698,0.000000
24249717783754,0.000000
24249723963102,0.000000
24249730142962,0.000000
24249741477808,0.000000
24249747709236,0.000000
24249759052048,0.000000
24249765274134,0.000000
24249771483627,0.000000
24249782779354,0.000000
24249789035730,0.000000
24249800319674,0.000000
24249806611406,0.000000
24249812851079,0.000000
24249824156228,0.000000
24249830329931,0.000000
24249836478902,0.000000
24249847767373,0.000000
24249853991903,0.000000
24249865338095,0.000000
24249871690468,0.000000
24249877884131,0.000000
24249889288344,0.000000
24249895656983,0.000000
24249901846320,0.000000
24249913157846,0.000000
24249919364216,0.000000
24249930725203,0.000000
24249936946015,0.000000
24249943261458,0.000000
24249954669805,0.000000
24249960949839,0.000000
24249967200515,0.000000
24249978621049,0.000000
24249984876562,0.000000
24249991085855,0.000000
24250002424006,0.000000
24250008586224,0.000000
24250014726189,0.000000
24250026020934,0.000000
24250032206002,0.000000
24250043494078,0.000000
24250049675527,0.000000
24250055861653,0.000000
24250067145618,0.000000
24250073366095,0.000000
24250084637428,0.000000
24250090833501,0.000000
24250097022431,0.000000
24250108343901,0.000000
24250114577686,0.000000
24250120792065,0.000000
24250132115879,0.000000
24250138309030,0.000000
24250144537751,0.000000
24250155812231,0.000000
24250162037837,0.000000
24250168279050,0.000000
24250179829417,0.000000
24250186097500,0.000000
24250192319864,0.000000
24250203746241,0.000000
24250210007815,0.000000
24250221300962,0.000000
24250227528253,0.000000
24250233726251,0.000000
24250245056716,0.000000
24250251258240,0.000000
24250257433520,0.000000
24250268715989,0.000000
24250274899823,0.000000
24250281034401,0.000000
24250292278466,0.000000
24250298467777,0.000000
24250309843454,0.000000
24250316129449,0.000000
24250322408446,0.000000
24250333846292,0.000000
24250340107158,0.000000
24250346345711,0.000000
24250357797077,0.000000
24250364056884,0.000000
24250370380953,0.000000
24250381701028,0.000000
24250387957712,0.000000
24250394252155,0.000000
24250405737311,0.000000
24250412042650,0.000000
24250418264092,0.000000
24250429548799,0.000000
24250435763959,0.000000
24250441977136,0.000000
24250453196932,0.000000
24250459427624,0.000000
24250470741157,0.000000
24250476917618,0.000000
24250483131720,0.000000
24250494429992,0.000000
24250500643848,0.000000
24250506830466,0.000000
24250518124402,0.000000
24250524325664,0.000000
24250535640879,0.000000
24250541835110,0.000000
24250548033778,0.000000
24250559288461,0.000000
24250565440277,0.000000
24250576675318,0.000000
24250582853070,0.000000
24250589062415,0.000000
24250600387517,0.000000
24250606595870,0.000000
24250612768381,0.000000
24250624045947,0.000000
24250630234757,0.000000
24250636422740,0.000000
24250647714020,0.000000
24250653951631,0.000000
24250665242851,0.000000
24250671417214,0.000000
24250677606849,0.000000
24250688852401,0.000000
24250695054716,0.000000
24250701313544,0.000000
24250712650155,0.000000
24250718903902,0.000000
24250725087504,0.000000
24250736352197,0.000000
24250742545775,0.000000
24250748721345,0.000000
24250759982234,0.000000
24250766166768,0.000000
24250777464044,0.000000
24250783690618,0.000000
24250789877156,0.000000
24250801172521,0.000000
24250807392478,0.000000
24250813602920,0.000000
24250824893693,0.000000
24250831028616,0.000000
24250842244385,0.000000
24250848418634,0.000000
24250854631947,0.000000
24250865931010,0.000000
24250872227681,0.000000
24250878602154,0.000000
24250889878036,0.000000
